,invoice_no,category,item,quantity,price,customer_id,date_key,payment_method,card_type,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,day_of_week,month,year,quarter,is_holiday,total_spent,purchase_count
3823,103823,Body Care and Hygiene,Deodorant,4,4.1,875,2023-10-13,Google Pay,,Easton Town Center,Columbus,Ohio,US,Jason,Ingram,Female,57.0,1967-06-12,0.0,1111.0,5.0,1.0,2023-02-25,43.0,418.47,Friday,October,2023,2023Q4,0,294.21999999999997,14
3824,103824,Hair Care,Shampoo,2,29.99,137,2023-03-27,BNPL (Buy Now, Pay Later),Dolphin Mall,Miami,Florida,US,Anna,Brown,Female,20.0,2004-07-14,1.0,1091.0,1.0,0.0,2021-12-19,14.0,12.63,Monday,March,2023,2023Q1,0,150.93,5
3825,103825,Skin Care,Sunscreen,1,31.95,744,2024-04-06,Apple Pay,,West Edmonton Mall,Edmonton,Alberta,Canada,Rhonda,Walker,Male,22.0,2002-05-05,1.0,344.0,3.0,0.0,2023-11-15,13.0,284.07,Saturday,April,2024,2024Q2,1,137.23,7
3826,103826,Body Care and Hygiene,Hand Sanitizer,3,13.99,992,2022-07-27,Apple Pay,,Bullring & Grand Central,Birmingham,West Midlands,UK,Clifford,Crawford,Other,54.0,1970-08-25,0.0,368.0,5.0,1.0,2024-12-12,9.0,77.43,Wednesday,July,2022,2022Q3,0,270.6,11
3827,103827,Skin Care,Moisturizer,1,20.74,701,2024-06-12,Credit Card - Visa,Visa,West Edmonton Mall,Edmonton,Alberta,Canada,Stefanie,Jones,Male,34.0,1990-09-17,1.0,703.0,9.0,0.0,2024-05-23,41.0,389.21,Wednesday,June,2024,2024Q2,0,221.8,9
3828,103828,Oral Care,Toothpaste,2,3.13,739,2023-07-01,Cash,,The Dubai Mall,Dubai,Dubai,UAE,Tracy,Solomon,Other,27.0,1997-10-24,0.0,701.0,8.0,1.0,2024-09-24,47.0,6.98,Saturday,July,2023,2023Q3,1,162.19,8
3829,103829,Skin Care,Lip Balm,3,54.17,254,2021-07-22,Cash,,Bloor-Yorkville,Toronto,Ontario,Canada,Sherri,Manning,Male,40.0,1984-06-28,0.0,1666.0,9.0,1.0,2023-08-29,50.0,457.54,Thursday,July,2021,2021Q3,0,315.17,10
3830,103830,Hair Care,Conditioner,2,19.52,118,2025-02-12,Debit Card - MasterCard,MasterCard,Westfield Annapolis,Annapolis,Maryland,US,David,Liu,Other,38.0,1986-05-18,0.0,1775.0,6.0,1.0,2020-11-29,46.0,347.45,Wednesday,February,2025,2025Q1,0,173.94,10
3831,103831,Skin Care,Moisturizer,2,77.66,57,2023-02-20,Cash,,Stonebriar Centre,Frisco,Texas,US,Jackie,Hawkins,Male,66.0,1958-12-02,1.0,881.0,9.0,0.0,2021-10-29,49.0,270.34,Monday,February,2023,2023Q1,0,387.6,9
3832,103832,Oral Care,Toothpaste,2,17.67,305,2023-07-15,Google Pay,,Arndale Centre,Manchester,Greater Manchester,UK,Dwayne,Walker,Other,65.0,1960-02-04,0.0,321.0,10.0,1.0,2021-04-18,31.0,361.76,Saturday,July,2023,2023Q3,1,431.65,10
3833,103833,Skin Care,Sunscreen,3,30.03,592,2023-07-19,Google Pay,,Easton Town Center,Columbus,Ohio,US,Melissa,Gay,Male,41.0,1983-11-06,0.0,675.0,3.0,0.0,2021-11-07,40.0,423.49,Wednesday,July,2023,2023Q3,0,404.62,13
3834,103834,Skin Care,Moisturizer,2,24.02,504,2023-03-02,Cash,,Meadowhall,Sheffield,South Yorkshire,UK,Brian,Castaneda,Male,19.0,2005-03-01,0.0,826.0,5.0,1.0,2022-07-09,29.0,174.23,Thursday,March,2023,2023Q1,0,140.51999999999998,10
3835,103835,Hair Care,Hair Oil,3,5.48,961,2023-01-30,Credit Card - Visa,Visa,Meadowhall,Sheffield,South Yorkshire,UK,Keith,Hendricks,Male,33.0,1991-12-15,0.0,815.0,5.0,0.0,2022-03-20,7.0,319.99,Monday,January,2023,2023Q1,0,265.02,9
3836,103836,Oral Care,Mouthwash,2,5.26,948,2022-10-13,Apple Pay,,Tysons Corner Center,McLean,Virginia,US,Linda,Torres,Female,49.0,1975-12-07,1.0,353.0,9.0,1.0,2020-04-20,30.0,14.23,Thursday,October,2022,2022Q4,0,412.1,12
3837,103837,Body Care and Hygiene,Hand Sanitizer,2,23.48,641,2022-10-29,Credit Card - Visa,Visa,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Angela,Ward,Female,21.0,2004-02-10,0.0,1640.0,10.0,0.0,2020-06-18,20.0,178.96,Saturday,October,2022,2022Q4,1,295.98,8
3838,103838,Hair Care,Shampoo,4,39.78,184,2024-05-04,Debit Card - Visa,Visa,West Edmonton Mall,Edmonton,Alberta,Canada,Karen,Douglas,Other,49.0,1975-06-12,0.0,1113.0,6.0,0.0,2022-11-16,25.0,189.39,Saturday,May,2024,2024Q2,1,133.32,6
3839,103839,Skin Care,Face Wash,3,44.6,757,2022-11-29,Apple Pay,,The Shops at Columbus Circle,New York,New York,US,Angela,Jenkins,Male,23.0,2001-11-19,0.0,1756.0,4.0,0.0,2020-02-17,47.0,396.9,Tuesday,November,2022,2022Q4,0,153.94,8
3840,103840,Hair Care,Hair Oil,3,29.44,187,2022-11-04,Apple Pay,,Bloor-Yorkville,Toronto,Ontario,Canada,Peter,Owens,Other,62.0,1962-04-02,0.0,972.0,6.0,0.0,2024-08-06,13.0,148.98,Friday,November,2022,2022Q4,0,325.76,12
3841,103841,Hair Care,Shampoo,1,7.36,346,2022-06-02,Cash,,The Oracle,Reading,Berkshire,UK,Zoe,Boyd,Other,69.0,1955-09-28,0.0,1040.0,4.0,0.0,2021-11-05,1.0,235.7,Thursday,June,2022,2022Q2,0,561.16,16
3842,103842,Oral Care,Mouthwash,1,12.87,541,2023-05-08,Debit Card - MasterCard,MasterCard,The Summit,Birmingham,Alabama,US,Raymond,Jones,Female,57.0,1967-11-04,1.0,1522.0,10.0,1.0,2023-10-23,8.0,50.3,Monday,May,2023,2023Q2,0,211.59,9
3843,103843,Body Care and Hygiene,Deodorant,4,18.9,659,2024-03-01,BNPL (Buy Now, Pay Later),Dolphin Mall,Miami,Florida,US,Tiffany,Jackson,Male,46.0,1979-01-18,0.0,1777.0,10.0,1.0,2023-07-27,12.0,372.8,Friday,March,2024,2024Q1,0,433.3,14
3844,103844,Skin Care,Sunscreen,4,23.34,629,2020-09-30,PayPal,,The Grove,Los Angeles,California,US,Bradley,Anderson,Male,70.0,1955-01-31,0.0,90.0,6.0,1.0,2021-11-01,39.0,498.78,Wednesday,September,2020,2020Q3,0,479.78,15
3845,103845,Oral Care,Mouthwash,2,5.89,179,2023-05-31,BNPL (Buy Now, Pay Later),The Galleria,Houston,Texas,US,Christopher,Flores,Male,52.0,1973-01-31,0.0,391.0,7.0,0.0,2020-05-20,39.0,353.83,Wednesday,May,2023,2023Q2,0,129.7,8
3846,103846,Oral Care,Toothpaste,3,4.0,134,2024-02-01,Debit Card - MasterCard,MasterCard,Santa Monica Place,Santa Monica,California,US,Angela,Davis,Male,38.0,1986-07-01,0.0,992.0,1.0,1.0,2021-04-01,27.0,80.82,Thursday,February,2024,2024Q1,0,198.60999999999999,6
3847,103847,Skin Care,Moisturizer,1,78.74,529,2022-05-25,Debit Card - Visa,Visa,South Coast Plaza,Costa Mesa,California,US,Jennifer,Barnett,Female,58.0,1966-05-26,1.0,615.0,3.0,1.0,2020-02-10,42.0,231.73,Wednesday,May,2022,2022Q2,0,397.33,13
3848,103848,Hair Care,Conditioner,1,10.25,587,2023-03-27,BNPL (Buy Now, Pay Later),The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,William,Anderson,Other,54.0,1970-12-13,0.0,1419.0,8.0,0.0,2021-01-11,8.0,25.59,Monday,March,2023,2023Q1,0,458.45,15
3849,103849,Hair Care,Conditioner,2,19.75,588,2020-04-30,Apple Pay,,The Summit,Birmingham,Alabama,US,James,Lucas,Female,62.0,1962-07-16,0.0,1561.0,2.0,0.0,2023-09-25,48.0,337.25,Thursday,April,2020,2020Q2,0,361.28999999999996,10
3850,103850,Hair Care,Shampoo,4,25.98,408,2021-03-23,Debit Card - Visa,Visa,The Galleria,Houston,Texas,US,Tina,Schultz,Other,63.0,1961-12-07,1.0,1063.0,8.0,0.0,2024-11-17,21.0,310.87,Tuesday,March,2021,2021Q1,0,302.35,9
3851,103851,Skin Care,Moisturizer,1,58.92,793,2024-07-16,Apple Pay,,International Plaza and Bay Street,Tampa,Florida,US,Carl,Hernandez,Other,46.0,1978-09-27,1.0,1264.0,6.0,1.0,2024-10-20,17.0,73.17,Tuesday,July,2024,2024Q3,0,223.69,5
3852,103852,Hair Care,Hair Oil,2,17.25,776,2022-11-11,Credit Card - Visa,Visa,The Dubai Mall,Dubai,Dubai,UAE,Michael,Griffin,Other,18.0,2007-01-04,1.0,1705.0,10.0,1.0,2020-12-18,3.0,33.31,Friday,November,2022,2022Q4,0,592.24,17
3853,103853,Skin Care,Face Wash,3,24.11,524,2020-11-25,Apple Pay,,West Edmonton Mall,Edmonton,Alberta,Canada,Victor,Conrad,Female,50.0,1974-06-23,0.0,347.0,9.0,0.0,2021-08-29,49.0,384.28,Wednesday,November,2020,2020Q4,0,368.9,13
3854,103854,Body Care and Hygiene,Hand Sanitizer,4,15.23,618,2022-10-28,Cash,,CambridgeSide,Cambridge,Massachusetts,US,Deanna,Morton,Female,18.0,2006-10-06,0.0,511.0,3.0,0.0,2020-04-02,31.0,170.4,Friday,October,2022,2022Q4,0,910.57,19
3855,103855,Skin Care,Sunscreen,4,56.4,389,2022-08-05,Credit Card - MasterCard,MasterCard,Westfield Annapolis,Annapolis,Maryland,US,Caroline,Huber,Female,35.0,1989-03-14,0.0,583.0,10.0,0.0,2024-08-28,41.0,314.25,Friday,August,2022,2022Q3,0,291.81,12
3856,103856,Skin Care,Face Wash,1,63.51,435,2020-04-27,Apple Pay,,Town Center at Boca Raton,Boca Raton,Florida,US,Taylor,Walker,Male,48.0,1976-07-10,1.0,1331.0,3.0,0.0,2023-05-09,10.0,310.5,Monday,April,2020,2020Q2,0,281.8,12
3857,103857,Skin Care,Face Wash,2,94.24,223,2023-02-20,Debit Card - MasterCard,MasterCard,The Florida Mall,Orlando,Florida,US,Michael,Miller,Female,32.0,1992-06-03,0.0,1367.0,3.0,0.0,2021-04-04,49.0,150.61,Monday,February,2023,2023Q1,0,358.08,10
3858,103858,Hair Care,Hair Oil,3,34.43,249,2023-04-30,BNPL (Buy Now, Pay Later),The Dubai Mall,Dubai,Dubai,UAE,Shannon,Henry,Male,65.0,1960-02-11,1.0,1323.0,10.0,1.0,2023-05-04,4.0,309.08,Sunday,April,2023,2023Q2,1,411.48,14
3859,103859,Hair Care,Shampoo,4,28.64,376,2023-10-29,Apple Pay,,CambridgeSide,Cambridge,Massachusetts,US,Lisa,Clay,Female,69.0,1955-05-06,0.0,1644.0,8.0,0.0,2023-08-28,28.0,464.84,Sunday,October,2023,2023Q4,1,165.1,10
3860,103860,Skin Care,Face Wash,3,98.93,598,2021-03-16,Credit Card - AMEX,AMEX,Roosevelt Field,Garden City,New York,US,Michael,Adams,Male,28.0,1997-02-09,1.0,1625.0,1.0,0.0,2023-03-08,2.0,334.09,Tuesday,March,2021,2021Q1,0,394.93,9
3861,103861,Body Care and Hygiene,Hand Sanitizer,2,27.75,918,2020-10-17,Apple Pay,,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Michael,Johnson,Male,62.0,1962-11-09,0.0,1191.0,7.0,0.0,2022-04-20,49.0,125.61,Saturday,October,2020,2020Q4,1,520.31,13
3862,103862,Body Care and Hygiene,Hand Sanitizer,4,12.6,77,2021-03-30,Apple Pay,,Scottsdale Fashion Square,Scottsdale,Arizona,US,Pamela,Joyce,Other,69.0,1955-11-10,0.0,293.0,5.0,1.0,2023-04-30,29.0,217.0,Tuesday,March,2021,2021Q1,0,407.73,14
3863,103863,Skin Care,Lip Balm,1,93.09,919,2021-07-20,Debit Card - Visa,Visa,Dolphin Mall,Miami,Florida,US,Susan,Stevenson,Male,54.0,1970-10-10,0.0,33.0,6.0,0.0,2024-12-02,20.0,465.13,Tuesday,July,2021,2021Q3,0,392.33,14
3864,103864,Hair Care,Hair Oil,4,20.21,818,2022-11-09,PayPal,,Lakeside Shopping Centre,Thurrock,Essex,UK,Dakota,Crane,Male,45.0,1979-07-15,1.0,1806.0,2.0,1.0,2022-12-16,37.0,175.84,Wednesday,November,2022,2022Q4,0,721.5699999999999,16
3865,103865,Skin Care,Sunscreen,3,19.18,610,2020-03-23,Google Pay,,The Grove,Los Angeles,California,US,Brenda,Martinez,Male,23.0,2002-02-20,1.0,1809.0,4.0,1.0,2023-02-06,46.0,491.98,Monday,March,2020,2020Q1,0,179.56,4
3866,103866,Oral Care,Mouthwash,1,3.69,792,2020-04-05,Credit Card - AMEX,AMEX,The Mall in Columbia,Columbia,Maryland,US,Emily,Carr,Male,51.0,1973-12-21,1.0,557.0,2.0,1.0,2020-04-09,42.0,215.13,Sunday,April,2020,2020Q2,1,169.85999999999999,11
3867,103867,Body Care and Hygiene,Deodorant,1,9.99,315,2020-05-31,PayPal,,Westfield London,London,England,UK,Tammy,Ray,Male,27.0,1997-08-17,1.0,1016.0,9.0,1.0,2021-11-09,19.0,244.75,Sunday,May,2020,2020Q2,1,665.6999999999999,18
3868,103868,Hair Care,Shampoo,2,31.81,495,2022-04-09,Credit Card - Visa,Visa,The Americana at Brand,Glendale,California,US,Jasmine,Marquez,Other,30.0,1994-10-31,0.0,443.0,2.0,1.0,2022-10-28,17.0,460.72,Saturday,April,2022,2022Q2,1,366.78,13
3869,103869,Hair Care,Shampoo,2,39.67,243,2022-02-27,PayPal,,The Mall at Millenia,Orlando,Florida,US,Antonio,Hall,Other,20.0,2004-07-14,0.0,404.0,7.0,0.0,2020-01-11,1.0,104.64,Sunday,February,2022,2022Q1,1,253.85,5
3870,103870,Hair Care,Shampoo,4,46.31,284,2022-04-27,BNPL (Buy Now, Pay Later),The Grove,Los Angeles,California,US,Brandon,Estrada,Female,50.0,1975-02-07,1.0,902.0,6.0,0.0,2020-04-20,15.0,294.99,Wednesday,April,2022,2022Q2,0,285.57,11
3871,103871,Skin Care,Face Wash,1,38.07,597,2023-01-11,Cash,,Bluewater Shopping Centre,Dartford,Kent,UK,Kimberly,Fischer,Female,49.0,1975-11-09,1.0,662.0,9.0,1.0,2022-01-23,44.0,199.2,Wednesday,January,2023,2023Q1,0,430.01,12
3872,103872,Skin Care,Face Wash,4,89.82,230,2025-01-14,Apple Pay,,West Edmonton Mall,Edmonton,Alberta,Canada,Andrew,Tapia,Male,54.0,1970-12-22,0.0,1034.0,3.0,0.0,2024-10-01,27.0,497.09,Tuesday,January,2025,2025Q1,0,534.94,17
3873,103873,Body Care and Hygiene,Hand Sanitizer,4,10.42,730,2021-07-11,Credit Card - AMEX,AMEX,Stonebriar Centre,Frisco,Texas,US,Hayley,Baker,Female,42.0,1982-09-12,1.0,1478.0,1.0,1.0,2025-02-06,34.0,40.2,Sunday,July,2021,2021Q3,1,223.02,11
3874,103874,Body Care and Hygiene,Deodorant,4,10.2,306,2023-11-26,Debit Card - MasterCard,MasterCard,Mall of America,Bloomington,Minnesota,US,Robin,Johnson,Female,22.0,2002-06-06,0.0,120.0,5.0,0.0,2020-06-14,15.0,412.74,Sunday,November,2023,2023Q4,1,480.59000000000003,10
3875,103875,Body Care and Hygiene,Body Lotion,3,6.69,389,2024-05-22,Debit Card - Visa,Visa,Stonebriar Centre,Frisco,Texas,US,Caroline,Huber,Female,35.0,1989-03-14,0.0,583.0,10.0,0.0,2024-08-28,41.0,314.25,Wednesday,May,2024,2024Q2,0,291.81,12
3876,103876,Hair Care,Conditioner,4,15.26,498,2024-05-17,PayPal,,West Edmonton Mall,Edmonton,Alberta,Canada,Megan,Cross,Female,42.0,1982-12-20,1.0,1320.0,5.0,1.0,2021-01-03,43.0,265.12,Friday,May,2024,2024Q2,0,93.89,6
3877,103877,Oral Care,Toothpaste,4,18.21,636,2024-02-10,Credit Card - MasterCard,MasterCard,Brookfield Place,New York,New York,US,Breanna,Pittman,Male,64.0,1960-03-27,0.0,772.0,6.0,0.0,2020-06-29,17.0,183.14,Saturday,February,2024,2024Q1,1,174.28,8
3878,103878,Hair Care,Shampoo,3,20.8,829,2020-09-10,Cash,,Dolphin Mall,Miami,Florida,US,Danielle,Ayala,Female,67.0,1957-05-13,1.0,428.0,9.0,1.0,2020-03-28,35.0,304.53,Thursday,September,2020,2020Q3,0,370.49,10
3879,103879,Oral Care,Mouthwash,4,17.96,156,2025-01-11,PayPal,,Dolphin Mall,Miami,Florida,US,Randall,Lewis,Other,33.0,1991-10-30,0.0,1207.0,4.0,0.0,2022-10-11,49.0,89.75,Saturday,January,2025,2025Q1,1,278.19,8
3880,103880,Hair Care,Hair Oil,4,8.59,617,2020-03-17,Credit Card - AMEX,AMEX,Dolphin Mall,Miami,Florida,US,Brian,Brown,Female,45.0,1979-08-16,0.0,550.0,8.0,1.0,2021-08-03,1.0,277.71,Tuesday,March,2020,2020Q1,0,366.75,13
3881,103881,Hair Care,Shampoo,1,31.28,111,2020-01-22,Credit Card - AMEX,AMEX,Easton Town Center,Columbus,Ohio,US,Erin,Black,Male,67.0,1957-06-10,0.0,533.0,3.0,1.0,2021-04-09,20.0,458.5,Wednesday,January,2020,2020Q1,0,536.47,14
3882,103882,Oral Care,Mouthwash,1,10.61,88,2023-05-30,Google Pay,,Santa Monica Place,Santa Monica,California,US,Dale,Thomas,Female,33.0,1991-12-09,0.0,1292.0,10.0,0.0,2024-06-26,46.0,452.39,Tuesday,May,2023,2023Q2,0,167.91,8
3883,103883,Hair Care,Shampoo,4,22.55,777,2023-12-27,BNPL (Buy Now, Pay Later),Cherry Creek Shopping Center,Denver,Colorado,US,Stephanie,Ellis,Other,54.0,1970-11-17,1.0,1070.0,2.0,0.0,2024-07-03,6.0,51.09,Wednesday,December,2023,2023Q4,0,343.48,8
3884,103884,Skin Care,Lip Balm,4,25.5,460,2022-10-11,BNPL (Buy Now, Pay Later),Yorkdale Shopping Centre,Toronto,Ontario,Canada,Jesse,Hernandez,Other,40.0,1984-10-28,1.0,1754.0,2.0,0.0,2022-07-30,10.0,12.36,Tuesday,October,2022,2022Q4,0,339.74,11
3885,103885,Body Care and Hygiene,Body Lotion,4,10.98,384,2021-05-01,BNPL (Buy Now, Pay Later),Westfield Annapolis,Annapolis,Maryland,US,Laura,Williams,Other,45.0,1979-04-05,1.0,939.0,7.0,0.0,2024-03-30,1.0,282.78,Saturday,May,2021,2021Q2,1,623.29,15
3886,103886,Hair Care,Hair Oil,2,38.04,649,2021-10-18,Credit Card - MasterCard,MasterCard,Westfield Century City,Los Angeles,California,US,Louis,Martin,Female,63.0,1961-12-29,0.0,910.0,8.0,0.0,2022-01-04,29.0,489.65,Monday,October,2021,2021Q4,0,464.78999999999996,11
3887,103887,Skin Care,Lip Balm,2,40.03,79,2023-12-29,Debit Card - MasterCard,MasterCard,Town Center at Boca Raton,Boca Raton,Florida,US,Heather,Campbell,Other,53.0,1971-04-04,1.0,885.0,10.0,1.0,2023-09-08,42.0,207.23,Friday,December,2023,2023Q4,0,278.91,9
3888,103888,Skin Care,Moisturizer,4,64.73,352,2024-09-21,Apple Pay,,The Americana at Brand,Glendale,California,US,Michael,Mahoney,Other,18.0,2007-02-06,0.0,844.0,10.0,0.0,2025-02-05,5.0,488.23,Saturday,September,2024,2024Q3,1,422.25,10
3889,103889,Skin Care,Sunscreen,1,63.39,988,2021-01-18,Google Pay,,South Coast Plaza,Costa Mesa,California,US,Sarah,Kennedy,Male,34.0,1990-10-31,1.0,22.0,5.0,0.0,2022-07-03,5.0,126.66,Monday,January,2021,2021Q1,0,399.14,11
3890,103890,Oral Care,Mouthwash,3,11.76,838,2023-10-22,Apple Pay,,King of Prussia Mall,Philadelphia,Pennsylvania,US,Michael,Stark,Other,42.0,1982-09-13,1.0,684.0,8.0,0.0,2020-06-04,20.0,218.84,Sunday,October,2023,2023Q4,1,305.61,11
3891,103891,Skin Care,Moisturizer,4,52.05,866,2023-03-22,Cash,,Easton Town Center,Columbus,Ohio,US,Christina,Kelley,Female,37.0,1987-03-02,0.0,1438.0,9.0,1.0,2021-04-04,10.0,417.16,Wednesday,March,2023,2023Q1,0,360.81,15
3892,103892,Body Care and Hygiene,Body Lotion,2,28.6,332,2020-04-25,Credit Card - AMEX,AMEX,Oakbrook Center,Oak Brook,Illinois,US,Christopher,Carter,Male,40.0,1984-07-17,1.0,510.0,10.0,1.0,2023-04-03,46.0,330.65,Saturday,April,2020,2020Q2,1,166.3,6
3893,103893,Hair Care,Conditioner,3,30.15,681,2023-01-11,Debit Card - Visa,Visa,South Coast Plaza,Costa Mesa,California,US,Robert,Torres,Other,25.0,1999-05-16,1.0,1012.0,6.0,1.0,2023-04-27,13.0,74.69,Wednesday,January,2023,2023Q1,0,187.5,10
3894,103894,Hair Care,Shampoo,1,36.0,350,2020-05-01,Debit Card - MasterCard,MasterCard,Bluewater Shopping Centre,Dartford,Kent,UK,Nicholas,Torres,Female,21.0,2003-05-27,1.0,1386.0,3.0,1.0,2022-11-06,49.0,302.41,Friday,May,2020,2020Q2,0,270.97,10
3895,103895,Skin Care,Moisturizer,2,27.52,821,2025-01-08,Cash,,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Jessica,Rogers,Other,38.0,1986-08-16,1.0,745.0,2.0,1.0,2024-04-13,36.0,323.64,Wednesday,January,2025,2025Q1,0,319.38,10
3896,103896,Hair Care,Hair Oil,4,37.07,832,2022-08-28,Credit Card - MasterCard,MasterCard,Westfield Stratford City,London,England,UK,Benjamin,Banks,Other,46.0,1978-09-09,0.0,249.0,4.0,1.0,2024-05-30,17.0,163.54,Sunday,August,2022,2022Q3,1,446.36,12
3897,103897,Oral Care,Toothpaste,3,14.59,988,2020-12-21,BNPL (Buy Now, Pay Later),Bloor-Yorkville,Toronto,Ontario,Canada,Sarah,Kennedy,Male,34.0,1990-10-31,1.0,22.0,5.0,0.0,2022-07-03,5.0,126.66,Monday,December,2020,2020Q4,0,399.14,11
3898,103898,Skin Care,Sunscreen,1,46.14,955,2023-05-04,Credit Card - Visa,Visa,Trafford Centre,Manchester,England,UK,William,Fields,Male,32.0,1992-03-16,0.0,1109.0,6.0,0.0,2022-10-21,8.0,87.23,Thursday,May,2023,2023Q2,0,540.27,12
3899,103899,Body Care and Hygiene,Hand Sanitizer,2,4.67,23,2021-04-17,Credit Card - AMEX,AMEX,Dolphin Mall,Miami,Florida,US,Richard,White,Other,52.0,1972-04-06,0.0,120.0,4.0,0.0,2022-04-06,8.0,281.08,Saturday,April,2021,2021Q2,1,326.83,11
3900,103900,Skin Care,Face Wash,4,26.19,993,2022-09-03,Cash,,Lenox Square,Atlanta,Georgia,US,Ronnie,Kane,Female,22.0,2003-01-25,0.0,791.0,5.0,0.0,2023-02-10,16.0,73.17,Saturday,September,2022,2022Q3,1,206.86,10
3901,103901,Skin Care,Moisturizer,4,55.42,153,2021-12-24,Debit Card - Visa,Visa,Palisades Center,West Nyack,New York,US,Lisa,Kirby,Male,31.0,1994-01-06,1.0,763.0,1.0,1.0,2022-08-08,30.0,170.25,Friday,December,2021,2021Q4,0,417.44,10
3902,103902,Skin Care,Face Wash,1,49.03,858,2024-03-24,Google Pay,,Trafford Centre,Manchester,England,UK,Diana,Mclaughlin,Female,37.0,1987-11-15,0.0,169.0,4.0,0.0,2022-12-05,25.0,181.81,Sunday,March,2024,2024Q1,1,481.08,16
3903,103903,Skin Care,Face Wash,4,17.1,969,2023-02-24,PayPal,,CambridgeSide,Cambridge,Massachusetts,US,Robert,Skinner,Female,62.0,1962-03-13,0.0,1696.0,8.0,0.0,2022-08-02,47.0,80.45,Friday,February,2023,2023Q1,0,502.96000000000004,16
3904,103904,Body Care and Hygiene,Deodorant,2,7.22,606,2020-02-10,BNPL (Buy Now, Pay Later),The Galleria,Houston,Texas,US,Michael,Love,Male,50.0,1974-08-13,1.0,1224.0,9.0,1.0,2022-11-27,32.0,33.17,Monday,February,2020,2020Q1,0,297.16,10
3905,103905,Hair Care,Hair Oil,4,41.07,252,2020-03-19,Debit Card - Visa,Visa,Westfield Annapolis,Annapolis,Maryland,US,Crystal,Santiago,Other,67.0,1957-05-21,0.0,1112.0,4.0,1.0,2023-12-23,18.0,246.84,Thursday,March,2020,2020Q1,0,425.0,14
3906,103906,Oral Care,Toothpaste,2,11.11,618,2023-08-25,Google Pay,,Bloor-Yorkville,Toronto,Ontario,Canada,Deanna,Morton,Female,18.0,2006-10-06,0.0,511.0,3.0,0.0,2020-04-02,31.0,170.4,Friday,August,2023,2023Q3,0,910.57,19
3907,103907,Skin Care,Moisturizer,1,13.17,86,2023-05-17,Credit Card - MasterCard,MasterCard,Meadowhall,Sheffield,South Yorkshire,UK,Christine,Wright,Other,38.0,1986-03-05,0.0,52.0,7.0,1.0,2020-03-04,10.0,152.59,Wednesday,May,2023,2023Q2,0,181.05,9
3908,103908,Skin Care,Sunscreen,2,44.21,859,2020-04-16,Debit Card - Visa,Visa,Bluewater Shopping Centre,Dartford,Kent,UK,Johnny,Garrett,Female,53.0,1971-12-11,0.0,1408.0,2.0,0.0,2020-01-11,42.0,265.37,Thursday,April,2020,2020Q2,0,468.55,12
3909,103909,Skin Care,Moisturizer,3,37.75,202,2020-12-31,Credit Card - MasterCard,MasterCard,International Plaza and Bay Street,Tampa,Florida,US,Jessica,Allen,Male,22.0,2002-12-14,1.0,451.0,6.0,1.0,2022-07-08,31.0,334.0,Thursday,December,2020,2020Q4,0,362.91,11
3910,103910,Skin Care,Moisturizer,2,51.13,801,2022-09-03,Credit Card - AMEX,AMEX,Trafford Centre,Manchester,England,UK,Steven,Austin,Other,65.0,1960-01-03,0.0,326.0,7.0,1.0,2023-01-03,24.0,478.83,Saturday,September,2022,2022Q3,1,455.93,13
3911,103911,Skin Care,Lip Balm,3,68.85,986,2024-09-08,PayPal,,Trafford Centre,Manchester,England,UK,Elaine,Fleming,Male,22.0,2002-05-21,0.0,1402.0,4.0,1.0,2024-12-03,48.0,172.32,Sunday,September,2024,2024Q3,1,332.44,10
3912,103912,Hair Care,Conditioner,2,44.1,99,2023-09-07,Apple Pay,,The Mall at Millenia,Orlando,Florida,US,Dawn,Chambers,Male,23.0,2001-05-11,1.0,323.0,1.0,0.0,2021-06-20,29.0,393.4,Thursday,September,2023,2023Q3,0,277.36,10
3913,103913,Skin Care,Face Wash,4,96.77,914,2021-09-04,Google Pay,,Bloor-Yorkville,Toronto,Ontario,Canada,Michael,Stone,Female,46.0,1978-06-26,0.0,1732.0,4.0,0.0,2024-09-25,27.0,472.04,Saturday,September,2021,2021Q3,1,154.29999999999998,4
3914,103914,Skin Care,Moisturizer,4,22.57,679,2024-10-26,Debit Card - MasterCard,MasterCard,The Trafford Centre,Manchester,Greater Manchester,UK,Sarah,Wells,Female,18.0,2006-08-05,0.0,216.0,3.0,1.0,2023-01-31,11.0,86.74,Saturday,October,2024,2024Q4,1,158.0,10
3915,103915,Skin Care,Moisturizer,2,98.19,626,2020-12-24,PayPal,,The Shops at La Cantera,San Antonio,Texas,US,Michael,Thompson,Male,19.0,2005-09-18,0.0,96.0,1.0,0.0,2020-03-12,14.0,167.32,Thursday,December,2020,2020Q4,0,505.04,15
3916,103916,Oral Care,Mouthwash,2,6.48,746,2020-11-25,Apple Pay,,The Dubai Mall,Dubai,Dubai,UAE,Christina,Ingram,Male,20.0,2004-08-02,0.0,936.0,2.0,1.0,2021-08-27,14.0,343.1,Wednesday,November,2020,2020Q4,0,271.93,8
